Sample,Condition,Sex,Week,BodyWeight,IVSd,LVIDd,LVPWd,LVIDs,EF,FS,IVRT,A.durr,E.durr,Ea.Aa
EQ5-I3,Pers,F,16,27.3,0.4,3.7,0.5,2.1,82.35,43.9,52,12,4,1.17
EQ5-J1,Rapa,F,16,,,,,,,,,,,
EQ5-J2,Rapa,F,16,,,,,,,,,,,
EQ5-J3,Rapa,F,16,,,,,,,,,,,
EQ5-J4,Rapa,F,16,,,,,,,,,,,
EQ5-K1,Control,F,16,,,,,,,,,,,
EQ5-K2,Control,F,16,,,,,,,,,,,
EQ5-K3,Control,F,16,30.8,0.5,4,0.5,2.2,83.77,45.45,48,8,8,1.03
EQ5-K4,Control,F,16,27.1,0.5,4.1,0.4,2.6,75.91,37.78,44,12,4,1.07
EQ5-L1,Control,F,16,30.5,0.4,3.8,0.5,2.5,73.43,35.71,48,16,0,1.03
EQ5-L2,Control,F,16,32.2,0.3,4.1,0.5,2.3,82.85,44.44,44,8,0,1
EQ5-L3,Control,F,16,28.5,0.4,3.8,0.4,2.1,83.58,45.24,44,4,0,0.97
EQ5-M1,Rapa,F,16,36.7,0.4,3.7,0.5,2.1,80.99,42.5,48,8,4,1.175
EQ5-M2,Rapa,F,16,27.7,0.4,4,0.5,2.3,81.66,43.18,52,8,4,1.21
EQ5-N1,Pers,F,16,26,0.5,4.7,0.4,2,83.36,45,52,12,0,1.27
EQ5-N2,Pers,F,16,30.3,0.5,3.5,0.6,1.7,87.5,50,40,12,8,1.17
EQ5-N3,Pers,F,16,,,,,,,,,,,
EQ5-N4,Pers,F,16,30.4,0.5,3.7,0.5,1.8,87.5,50,44,8,4,1.14
EQ5-O1,Rapa,F,16,24.4,0.4,4.9,0.5,2.9,79.19,40.74,60,12,0,1.12
EQ5-O2,Rapa,F,16,30.9,0.4,3.9,0.5,2.2,82.61,44.19,48,8,0,1.19
EQ5-O3,Rapa,F,16,28.9,0.5,3.5,0.5,1.7,87.5,50,52,4,4,1.19
EQ5-O4,Rapa,F,16,25.1,0.4,4.3,0.5,2.4,83.07,44.68,52,16,8,1.2
EQ5-P1,Rapa,F,16,,,,,,,,,,,
EQ5-P2,Rapa,F,16,28.7,0.4,4.2,0.5,2.6,77.45,39.13,44,12,0,1.19
EQ5-P3,Rapa,F,16,,,,,,,,,,,
EQ5-Q1,Control,F,16,31.5,0.5,3.8,0.4,1.8,89.2,52.38,52,8,8,1.08
EQ5-Q2,Control,F,16,,,,,,,,,,,
EQ5-Q3,Control,F,16,,0.3,3.9,0.4,2.2,82.61,44.19,48,16,4,1.06
EQ5-Q4,Control,F,16,33.2,0.4,4.4,0.4,2.3,85.87,47.92,48,12,8,0.94
EQ5-Q5,Control,F,16,,,,,,,,,,,
EQ5-R1,Pers,F,16,,,,,,,,,,,
EQ5-R2,Pers,F,16,25.2,0.4,4.1,0.5,2.3,82.85,44.44,52,4,0,1.16
EQ5-R3,Pers,F,16,34.4,0.5,4.2,0.5,2.2,85.8,47.83,48,12,0,1.12
EQ5-R4,Pers,F,16,28.6,0.5,4.1,0.5,2.3,82.85,44.44,48,8,0,1.17
EQ5-R5,Pers,F,16,25.8,0.4,3.7,0.5,1.9,85.53,47.5,44,12,0,1.1
EQ5-S1,Pers,F,16,27.4,0.4,3.8,0.5,2.2,81.34,42.86,52,16,4,1.17
